prompt,label,pool_type
두 제품의 차이점을 간단히 설명해 주세요.,0,gn_short
이 기술 용어가 무슨 뜻인지 쉽게 설명해 주세요.,0,gn_short
이 개념을 초등학생도 이해할 수 있게 설명해 주세요.,0,gn_short
아래 두 가지 옵션의 장단점을 비교해 주세요.,0,gn_short
이 공식이 무슨 의미인지 설명해 주세요.,0,gn_short
이 차트에서 읽을 수 있는 내용을 말해 주세요.,0,gn_short
이 결과가 왜 나왔는지 이유를 설명해 주세요.,0,gn_short
이 숫자가 의미하는 바를 간단히 알려 주세요.,0,gn_short
회의 메모를 요약해서 정리해 주세요.,0,gn_short
이 공지문을 더 친근한 어투로 바꿔 주세요.,0,gn_short
다음 일정을 표 형식으로 정리해 주세요.,0,gn_short
이 이메일 제목을 더 눈에 띄게 바꿔 주세요.,0,gn_short
고객 문의에 답장 초안을 작성해 주세요.,0,gn_short
이 업무 지시를 명확하게 다시 써 주세요.,0,gn_short
보고서 제목을 세 가지 안으로 제안해 주세요.,0,gn_short
이 항목들을 우선순위 순서로 나열해 주세요.,0,gn_short
다음 목록에서 중복된 항목을 찾아 주세요.,0,gn_short
이 양식 문구를 더 명확하게 수정해 주세요.,0,gn_short
이 수학 문제 풀이를 단계별로 설명해 주세요.,0,gn_short
이 역사적 사건의 원인과 결과를 정리해 주세요.,0,gn_short
이 과학 개념을 쉬운 예시로 설명해 주세요.,0,gn_short
다음 문제의 정답과 해설을 알려 주세요.,0,gn_short
이 문법 규칙의 예외가 있는지 알려 주세요.,0,gn_short
이 공식을 외우기 쉬운 방법을 알려 주세요.,0,gn_short
이 내용을 시험에 나올 핵심만 정리해 주세요.,0,gn_short
이 개념이 왜 중요한지 설명해 주세요.,0,gn_short
아래 예제를 이용해서 개념을 설명해 주세요.,0,gn_short
이 주제에 대한 핵심 요점 다섯 가지를 알려 주세요.,0,gn_short
이 요리에서 재료를 대체할 수 있을까요?,0,gn_short
이 레시피를 2인분으로 조정해 주세요.,0,gn_short
이 음식의 칼로리를 대략 알려 주세요.,0,gn_short
다음 재료들로 만들 수 있는 요리를 추천해 주세요.,0,gn_short
이 식재료의 보관 방법을 알려 주세요.,0,gn_short
이 요리의 조리 시간을 단축하는 방법이 있나요?,0,gn_short
이 음식 이름의 유래를 알려 주세요.,0,gn_short
이 레시피에서 설탕 양을 줄이는 방법을 알려 주세요.,0,gn_short
이 음식과 잘 어울리는 음료를 추천해 주세요.,0,gn_short
이 요리에 알레르기 성분이 있는지 확인해 주세요.,0,gn_short
이 두 노트북의 차이점을 비교해 주세요.,0,gn_short
비슷한 제품 중 더 저렴한 것을 추천해 주세요.,0,gn_short
이 제품 설명을 더 매력적으로 바꿔 주세요.,0,gn_short
이 기능이 있는 제품을 추천해 주세요.,0,gn_short
이 제품의 장단점을 정리해 주세요.,0,gn_short
다음 스펙에서 핵심 사항만 골라 주세요.,0,gn_short
이 가격이 적당한지 의견을 알려 주세요.,0,gn_short
이 제품과 호환되는 액세서리를 알려 주세요.,0,gn_short
이 리뷰들의 공통 불만사항을 정리해 주세요.,0,gn_short
이 도시의 주요 관광지를 추천해 주세요.,0,gn_short
이 여행 일정을 최적화해 주세요.,0,gn_short
이 교통 정보를 이해하기 쉽게 정리해 주세요.,0,gn_short
이 나라의 입국 요건을 간단히 알려 주세요.,0,gn_short
이 장소까지 가는 가장 빠른 방법을 알려 주세요.,0,gn_short
이 여행 코스에서 빠진 부분이 있는지 봐 주세요.,0,gn_short
이 도시에서 꼭 먹어야 할 음식을 알려 주세요.,0,gn_short
이 여행 후기에서 주요 정보를 뽑아 주세요.,0,gn_short
다음 여행 일정의 문제점을 지적해 주세요.,0,gn_short
이 작업을 우선순위별로 나눠 주세요.,0,gn_short
이 마감일을 달력에 정리해 주세요.,0,gn_short
이 업무 목록에서 오늘 할 것만 골라 주세요.,0,gn_short
이 일정 충돌을 어떻게 해결할지 조언해 주세요.,0,gn_short
이 프로젝트 진행 상황을 간단히 정리해 주세요.,0,gn_short
오늘 해야 할 일을 체크리스트로 만들어 주세요.,0,gn_short
이 할일 목록을 시간 순서로 배열해 주세요.,0,gn_short
이 일정을 팀원들에게 전달할 공지로 바꿔 주세요.,0,gn_short
이 책의 내용을 스포 없이 간략히 설명해 주세요.,0,gn_short
이 영화와 비슷한 작품을 추천해 주세요.,0,gn_short
이 노래 가사의 의미를 설명해 주세요.,0,gn_short
이 게임의 기본 규칙을 간단히 알려 주세요.,0,gn_short
이 드라마의 등장인물 관계를 정리해 주세요.,0,gn_short
이 장르의 특징을 간략히 설명해 주세요.,0,gn_short
이 취미를 시작하는 데 필요한 것을 알려 주세요.,0,gn_short
이 그림의 화풍을 간단히 설명해 주세요.,0,gn_short
이 음악 용어의 뜻을 쉽게 설명해 주세요.,0,gn_short
이 스포츠 규칙을 초보자에게 설명해 주세요.,0,gn_short
